#separator:tab
#html:false
5.11 语法 （37） there is there are 的注意点（否定，缩写， it's）  听力（2023河北 独白1） 1. 我告诉你我会迟到那个聚会 2. 7点会完成  单词 1. 城堡 2. 太阳系 3. 橄榄球 4. 英语字母表 5. 医院 6. 州	1. castle 2. rugby  i‘ll be a little late for the party. It can be done at about 7 o'clock
9.20   定语从句和表语从句的区别6个维度	| 维度       | 宾语从句 Object Clause                         | 定语从句 Attributive Clause                                      | | -------- | ------------------------------------------ | ------------------------------------------------------------ | | 1. 作用    | 整个从句当**宾语**（=名词）                           | 整个从句当**定语**（=形容词）                                            | | 2. 回答的问题 | “做什么/说了什么”                                 | “哪一个/什么样的”                                                   | | 3. 位置    | 动词/介词/形容词之后                                | **紧跟着被修饰的名词**（先行词）之后                                         | | 4. 引导词区别 | that 无成分、可省；whether/if；疑问词                 | that/which/who/whom/whose/when/where/why（在从句里**充当成分**，常不可省）  | | 5. 语序    | **陈述语序**（主+谓）                              | 陈述语序                                                         | | 6. 例句骨架  | I know **\[that she is right]**.（know 的宾语） | I know the girl **\[who is standing there]**.（who 从句形容 girl） |   宾语从句“代替名词”作宾语；定语从句“代替形容词”去修饰名词。   同样用 that 宾从：I think (that) he is right.（think 的宾语） 定从：I agree with the idea that he put forward.（that 从句形容 idea，that 在从句里作 put forward 的宾语） ② 同样用 where 宾从：I don’t know where he lives.（know 的宾语） 定从：This is the village where he was born.（where 从句形容 village） ③ 同样用 who 宾从：I asked who would be the host.（asked 的宾语） 定从：The man who will host the show is my cousin.（who 从句形容 man）
9.21 take 核心2意义12 take a 的短语8 个搭配 hermano 拉美 西班牙语的（bro）marathon    [ˈmærəθɑːn	take took taken  1. 用手抓住、控制、占有， 2. 施加力气，改变状态位置。  1. Take a break - 休息一下2. Take a chance - 冒险尝试3. Take a nap - 小睡一会儿4. Take a picture (photo)- 拍照5. Take a seat - 就座6. Take a shower - 淋浴7. Take a walk - 散步8. Take an exam - 参加考试 9. take a piss /dumptake a looktake a peektake a little holidaytake a rain check （maybe next time） can i take a rain check?  you can take a rain check take a rain check = “这次先欠着，下次补”，美式婉拒神器。 take care of ( look after)she takes care of her little brotheri'll take care of the plants while you're away. 听到“take care of”别急着翻“照顾”，先问自己： 说话人想让它“活着”还是“消失”？ take off i will take off your tops.she will take off her bra. tits  take it easy  【/teɪ kɪ‿ti zi 】/(淡定， 慢走)take it easy，let's take it easy   听见“Take it easy”，先看场景再翻译： 告别=慢走，焦虑=淡定，冲突=别上手，自嘲=我要躺。take placethe meeting will take place tomorrow. 不带宾、不用被动、不说“was taken place”——   take advantage of   ===    make good use of (利用)i will take advantage of the sunny day to going hikethe worker was took advantage of. 被剥削 物宾＝抓住机会，人宾＝欺负好人； take overthe man take over the showthe new ceo have taken over the company。 人、组织、机器都能 take over——关键是“控制权换手拿”。 take part in（join in）he will take part in the marathon.he had taken in the party   take a part ---- play a role     “in” 不能丢，活动要接好；
9.23  think 3个意思4个短语注意事项	认为觉得 I think it's going to rain tomorrow I think you you are right.思考， 想象 let me think about your suggestion. let me think for a moment.打算计划 （thinking of ） I'm thinking of changing my job.      think about you 想think of you 想起think outside the box 跳出这个思维think over  “of 像灯泡，about 像煮药。” 灯泡一亮即 of，小火慢炖是 about。       否定转移 ❌ I think he isn’t right. ✅ I don’t think he’s right. 一句话：英语习惯把否定提前，听起来更自然。 进行时限制 ❌ I’m thinking you should leave now. ✅ I think you should leave now. 一句话：表示“观点”时不用进行时；只有“思考/考虑”过程才用（I’m thinking about it）。 宾语从句不可省 that（正式写作） ❌ I think he is late is unacceptable. ✅ I think that he is late is unacceptable. 一句话：正式文体里保留 that，避免一串动词堆在一起。 疑问句中位置 ❌ Do you think what will happen? ✅ What do you think will happen? 一句话：疑问词提前，主句倒装，从句保持陈述语序。 虚拟语气要用过去时 ❌ I think it is better if he apologizes now. ✅ I think it would be better if he apologized now. 一句话：与现在事实相反的假设，用过去式+would。 不可接不定式作宾语 ❌ I think to go abroad next year. ✅ I think I’ll go abroad next year. / I’m thinking of going abroad next year. 一句话：think 后不接 to-do，改接从句或“of + v-ing”。 被动含义用 be thought to ❌ People think him to be a genius.（过时/生硬） ✅ He is thought to be a genius. 一句话：想表达“被人们认为”，用被动结构最简洁。 礼貌度降级 ❌ I think your idea is stupid.（冒犯） ✅ I don’t think your idea is very practical. 一句话：否定+弱化形容词（not very, not quite）是英语“留面子”标准操作。
9.26  find  2个意思4个短语	找到i found a place to stay.发现we found the door locked.         find a solutionfind a jobfind a wayfind out
9.29 turn  /tɜːrn/  3个维度11 个短语     blind  /blaɪnd/	物理 （转身，旋转，拐弯，翻动）状态变化（变得，变成某物，颜色变化）抽象（转移注意力，达到，求助） n， 机会 your turn     turn on/offshe turned on the lightyou have to turn off the camera.(light ,tap, fight mode) trun on me, trun me on “电器开关先，人性开关后；宾语一错位，暧昧变斗殴。”   turn right/left (hang a left, make a left, take a left )go straight for three minutes, turn right at the traffic lights. you can't miss it.turn sharp rightturn up/down (音量)Can you turn up the volume？would you like to trun down the volume,   “旋钮 up 大 down 小，人到 up 拒 down 了；   turn into (变成)water turned into ice.the school was turned into factory.turn into a monster. “质变 into 方向 to   turn out (最终变成)how did that turn out?it turn out to be the hero. turn out (to be) + N/Adj turn a blind eye (ignore) I need just to turn a blind eye.i’ll turn blind eye to it.turn around (转身)she didn;t turn around and waved.turn around and go back.  turn over (交出，翻面)please turn the page over.the police demanded that he turn(hand) over the key.
10.3  help  help的2个词性4个固定搭配   pronunciation  [prə.nʌnsi'eɪʃ(ə)n]	使变得更容易、促进、补救  及物动词  help sb to （do） sth名词 ask for help  be of help   can't help doing  i can’t help laughing. (crying)she couldn‘t help being late.with the help ofwith the help of my brother. i passed the exam.with the help of AI help out (with)could you help me out?mother helped out with babysitting last night.  “help out” 就是江湖救急专用词： 比 help 更口语， help oneselfyou can help yourself to drinks. (it's on the house)help yourself to the dishes.
10.3 show 3个动词2个名词3个短语	show sb sth         show sth to sbshow sb how to do sth 表面  show sb toTV show Talk show Radio show fashion show  / a car show / an art show           show up  露脸he didn't show up to the meeting.show off  炫耀I loves showing off my new car.she always showes off her new houseshow around 带领参观let me show you around the city.let me show you around my house.
10.4  have 6个意思 4个动词	拥有吃经历遭遇举行使役动词 使某人做某事have been 助动词 have a (sth)have dinnerhave a cup of coffeehave a bad coldhave a good timehave a meeting have a partyhave her card repairedhave him call you     | 注意点                  | 说明                                      | 错误示例 → 正确                                      | | -------------------- | --------------------------------------- | ---------------------------------------------- | | **否定形式**             | 实义动词否定用 **don’t/doesn’t/didn’t have**   | ❌ I haven’t a car. → ✅ I **don’t have** a car. | | **疑问形式**             | 实义动词疑问用 **Do/Does/Did...have...?**      | ❌ Have you a pen? → ✅ **Do you have** a pen?   | | **完成时否定**            | 完成时否定用 **haven’t/hasn’t/hadn’t + 过去分词** | I **haven’t seen** him.                        | | **have got vs have** | 英式口语中“have got”=“have”，但**不加助动词do**     | ✅ I’ve got a dog. ❌ I do have got a dog.       |
10.5  put  意识是什么7 个短语  fridge cigarette firefighters  snore	放置  put on （穿衣） he put on his jacket and left.i'm going to put it on.  put off （拖延）don't put off your work.I keep putting it off and now it's due tomorrow.  put out （熄灭 烟火蜡烛）please put out your cigarette.the firefighters put out the fire in 20 minutes.  put up with （忍受）I can't put up with this heat anymore. I can't put up with the traffic every day. snore  [snɔr]   | 强度 | 替换词                  | 备注      | | -- | -------------------- | ------- | | 弱  | **tolerate**         | 正式、中性   | | 中  | **put up with**      | 口语、带情绪  | | 强  | **stand** / **bear** | 更口语、更强烈 | | 极强 | **endure**           | 书面、苦难级  |   put down （放下）she put down her coffee and smiled.please put your phone down and look at me.  put together （组装）I put the toy together.put my car together  put into （投入精力）I've put a lot of time into this project.she put mile into the fridge “put into，重音在to， 放进投入都能做； 翻译状态写系统， 习语 practice 别错过！”          put your foot down put your mind to it
10.6 able be able to do sth 有能力做某事have the ability to do unable 不能 work outdisable 残疾 the disable adj 表示一类人  the old， the young 复数形式are/were	we would be able to understand China's culture.she has the ability to finish the work by herself.he was unable to work out the math problemwe should help the disable.
10.6 about adv  大约 around  prep 关于 onwhat/how about doing 介词+doing  怎么样？talk aboutworry（v） about === be worried（adj） about	adv 大约 around 附件，大约 prep 关于   I got home about/around 6o'clockcan you gove me some advice about/on how to keep healthy(adj)it‘s nearly lunch time. how about having some noodles and dumplings?you can see the price in our faces. when we talk about the new car.don't worry about  your son, he would be able to look after himselfshe was worried about the safety of me.    it is good for your health.nearly / almost 几乎差不多pride 骄傲achievements 可数 （可数） 成就
10.6 above  prev adv  prev 在...上  overabove all   ===  most importantly	the bridge over the riverabove all, you should look after your daughter.             independent  独立  [ˌɪndɪˈpendənt] learn to do sb 学会做某事
10.6 abroad  adv   副词之前不加介词 go abroadstudy abroad 出国留学aboard 上船	the beautiful lady with glasses ，she has gone abroadi decided to study abroadthey went aboard the plane           with glasses 戴眼镜home and abroad 国内外cann't be her 一定不是她
10.6 absent  adj  [ˈæbsənt]   absence n   adj（表语，定语）n （宾主语） silent   silence distant distance  距离 from the distance between patient patience different  difference important importance convenient convenience    be absent from 缺席keep silentmake a difference	you has been absent from school for two days.we should keep silentit make a difference to me           it's said that
10.6 accept [əkˈsept]  主观 （内在）   receive 客观，收到鲜花   接受， 接收	I receive an invitation， but i didn't want to accept it.I accept your apology. [əˈpɑlədʒi]   but时态呼应
10.06 accident [ˈæksɪdənt] n  accidental adj 意外的 accidentally adv 偶然的 === by accident === by chance  an accidenttraffic accidentby accident 偶然地	this is an accident. I see a traffic accident.I met my English teacher by accident.
10.7 ache v. n. [eik]  stomachache  /ˈstʌm.ək.eɪk/toothacheheadache	I have a terrible toothache today\
10.7 achieve   v [əˈtʃiv]    achieve successachieve one's dreamachievement  n	he succeeded finally.      he achieved success in the end.she achieved her dream.AI is seen as one of the Four Great achievements of the world.     be seen as 被视为ment 是可数的   agreements 同意，协议 environments instruments argument argument 争吵  movement移动运动
10.7 across   [əˈkrɔs]  prev  介词放在名词前 动名词   through prev  cross  v  === go/walk across   across 平面穿过  street road sky playgroundthrough 内部穿过 有高度的  forest cave windowrun across = come across 偶然遇见  happen to meetcome across sb doing	please be careful when you go across the roadthey walked through the forest.I ran across one of my friends just now. I came across some children playing football    fly --  flew  [flu:] just now 一般过去manage it myself 自己可以搞定
10.7 act [ækt]  v.扮演 n.行为  action n  take action  采取行动  to do     没有 an/a s activity n 活动  activities  after-class activities -ess an actor  actress  女演员	we should take action to protect animals in danger.actions speak louder than words.the purpose of the activity is to raise money for a new hospital.she is an actor.     active adj 活跃的，积极的      negative 消极的actively adv 活跃地purpose  目的意图 xx purpose is toraise money 募集捐款 -or -er  doctor inventor director professor  sailor visitor  actor or探索-ess   waitress  hostess princess goddess [ˈɡɑdəs]   prince
10.7 add  [æd]   add ... to...	I'm going to add some tomato sauce to the salad， if you don't mind.if you add 1 and 1，you get 2
10.7 adult [ˈædʌlt]  adjn   MOVIE  address   [əˈdres]   adult  A teenager 10-15   a children 5-10    a kid 1-5email address	this moive is only suitable for adult.please provide us with your email address.
10.7 advantage [ədˈvæntɪdʒ]  the advantage of     ...的优势、disadvantage    n	what are the advantages of studying abroad？Bike sharing is very useful in our daily life， although it still has some disadvantage.         介词后+动词 doing 主谓一致dis-        honest dishonest   agree  disagree
10.7 advertisement [ˌædvərˈtaɪzmənt]  AD n an advertisement	it has an advertisement   advertise v 做广告advertiser n 广告商have a argument with sb
10.7  advice n  [ədˈvaɪs]  advise  v  suggest v  suggestion 可数  [səɡˈdʒestʃ(ə)n]  advice 不可数  不可数 advice动词advise Sb to do    或者 advise doing sthsuggest doing sth	the problems are difficult to solve,  please give me some advice. many advice,  an advice ,some advices 错误   I advise him to eat more fruit and vegetables [ˈvedʒ(ə)təb(ə)l]。、she advised watching a moviekawhi suggested going for a walk.     keep doing you'd better keep reading more English books.you'd better  + do 动词原型 fruit 不可数vegetables 可数watch a movie ,  go to the movie, see a film
10.7  afford  [əˈfɔrd]   v 承担得起   afford to do sth	we can't afford to go abroad this summer holiday.
10.8  afraid   [əˈfreɪd]  adj   be afraid of sthbe afraid of doing sth	Cathy is afraid of the dog, she will run away as soon as she sees it.I'm afraid of staying at home alone             主将从现 as soon as， if ， whenbe covered with snowfalling ['fɔlɪŋ]
10.8  Africa ['æfrɪkə] n   African ['æfrɪkən] adj  n 非洲人    Asia   ['eɪʒə] Asian  adj n    Europe  [ˈjʊrəp] European [ˌjʊrəˈpiən]    North America  North American   south America  Africa Asian	I'm Asian      不加anshe is european  不加a、ana european  country
10.8 after   [ˈæftər]  ['after]  prep conj 在什么之后   after + v-ingafter all	Betty felt so tired that she immediately fell asleep in bed after lying downafter playing football for more than half an hour, the students took a few minutes' rest.he can't got it， after all， he is only 3 years old.   毕竟  with 只加短语because 连词 because of 介词 + 短语doingfeel - felt [felt] lying  [ˈlaɪɪŋ] down 平躺 immediately = quickly fall [fɔl]   - fell  [fel] half   [hæf]  [haf]more than 超过===over take a minute's rest     ten minutes' rest 本事加s直接加'
10.8 afternoon   [ˌæftərˈnun]   n  in 上下晚    at night当早中晚遇到 星期日期节日天气  on a cold morning  、  on may 1st morning this afternoon	in the afternoonI’ll be at home on sunday morning. but I won't be allowed to go out this afternoon.         特指早中晚遇到 星期，日期，节日，天气 ， 一律用on 不用in  on friday afternoon， that afternoon 一定是过去式won't  =  will not早下晚 遇到this that 都不用in 或者on
10.8  again [əˈɡen]    adv  again and again once again	she told me this story again and again   tell - told [toʊld]
10.8 against  【əˈɡenst】  prep be against靠紧beat against the window 击打着窗户】	I am against the plan       I‘m for the planthat is against the law.please the sofa against the wall.ben was helping his mother when the rain began to beat heavily against the windows.        heavily 下雨雪when 前过去进行时， when 后过去式
10.8  age [eidg] n  at the age of 7aged	he was able to swim at the age of seven.this is my mother,aged 37
10.10 ago adv  [əˈɡoʊ]     agree [əˈɡri：]   v a long time agoagree to do sthagree with sb     disagree with  sb.allow sb to do     allow doing	his car was brought five years agohe agree to help me.I agree with you.I disagree with you about what we should do. (介词宾语从句)my parent don;t allow me to watch tvmy parent don't allow watch tv    happened 没有被动语态没有 agree sb to do sth   用 allow 代替 disagree v  不同意 reach an agreement 达成协议   arrive at an agreementnationwide 全国范围
10.10 air [er]   不可数  air oxygen  [ˈɑksɪdʒən]  water milk tea coffee juice soup oil food rice bread meat beef time money homework housework advice weather information furniture chalk by air / plan	I will go to Newyork by air  by 交通工具之后不用 a/an/the airline airport
10.11  alive  [əˈlaɪv]       dead [ded] living  ['living] adj  活着，有生气的 alive   做表语 living 做表语alive 做定语放在名次之后 后置定语， living放在名词前， 前置定语	I don't know if he is alive or dead.are your grandparents still living？who is the greatest （living） writer （alive）？           do/try his best to 尽最大的努力  keep the tree alive都可以放在名次后 asleep absent awake
10.11 all adj 3/3 [o:l]   both  adj 2/2  [boʊθ]      either pron 英 [ˈaɪðə(r)]美 [ˈiːðər] 1/2 neither pron    [ˈnaɪðər]  0/2   有也的意思，否定 none 0/3  不定代词  all 可数名词复数形式 both... and...either orneither nor	all students study hard.eigther you or he is right.neither you nor he is able to finish the work in 2 hours. both sides of the roadeither neither就近原则 both are when would you like to go swiming with me?it's up to you 取决于你what's the weather like in kuming ? 什么怎么样、several 加只能可数复数 若干the relationship between... and... will be closer than before.
10.11  alone  adj adv 独自一人 lonely adj 孤独 内在的   own   [oʊn]  alone = on one’s own = by oneselfalone  lonely	he has ability to finish the work by herself , alone.he live alone. but he doesn't feel lonely.         help sb with sth.
10.11 along  get along badly withwalk/go along	go along center street ，and you will find it.        动词原型在句首，祈使句，之后用and（那么），加好的结果， 加or 不好的结果，要不然否则
10.12  aloud  adv [3laud] 大声 loudly adv  喧闹  aloudloudly	read the text aloudDon't speak loudly in the room
10.12  already  [ɔːlˈredi]  adv   现在完成时标志 already， 过去对现在的影响	I have already eat dinner.the AI textbooks have already appeared in shanghai.
10.12  also ，也而且  adv   用在be 后 动词前， 不可以在句子末尾。 too 用在句尾too much 不可数 和much too 的区别   形容词，副词not only... but also 不但...而且就近原则 not only... but also neither 否定 也	he also like I have had too much water.you need not only talent but also hard work to become a successful football player.not only you but also I am interested in the cartoon.      too much 不可数 和much too 的区别   形容词，副词to become 不定式作目的状语social skillsstudents' healthimprovebe crazy about  疯狂迷恋
10.12  although == though 尽管  conj  although although 和but不连用  because... so	although the journey was tiring.    fit 健康
10.12 alway  [ˈɔlˌweɪz] adv all the time === always	success always belongs to those who have tried their best to make their dreams come true.           belong to tried their best tomake one's dreams come true.success 不可数 = 三单
10.12 国家人的复数 不变   国家-国家人-国家多人	china-chinese-chinese japan-japanese-japanese 加s America - American-Americans Germany-German-Germans  德语 german Greece-Greek-Greeks  India-Indian-indians Canada-Canadian-Canadians  Russia-Russian-russians Italy-Italian-Italians Egypt-Egyptian-Egyptians  man-men England-Englishman-Englishmen France-Frenchman-Frenchmen   法语 French
10.12  among 多个之间  between 两个之间  amongbe angry with sbangrily adv 生气地	among the middle-aged people    连字符是形容词 middle-aged peoplethe high-speed trainin acient times. 古代的in modern times 在现代  [ˈmɑdərn] as well as 同样也还 stop doing 停止做 stop to do 停下去做the secret of success 成功的秘诀make it 到达目标effort  [ˈefərt] competition 比赛  [ˌkɑmpəˈtɪʃ(ə)n] prepare for it 为it做准备  [prɪˈper]surprisingly  [sərˈpraɪzɪŋli] 惊喜的fail sth
10.12  another 三者之中的一个， the other 两个中的一个 adj pron  [əˈnʌðər]   the other   [ˈʌðər] other 接名词复数 others 不接名词  [ˈʌðər]   other （形容词性物主代词）跟可数复数名词 和others 不跟名词  (名词性物主代词)的区别	please show me another. others like chinese.can you kick the ball to the other end of the football field, 不能用other   | 错误表达                                 | 正确表达                                     | 说明                                        | | ------------------------------------ | ---------------------------------------- | ----------------------------------------- | | ❌ I have **other book**.             | ✅ I have **another book**.               | 单数可数名词前不能用 **other**，要用 **another**       | | ❌ **The others students** are late.  | ✅ **The other students** are late.       | **others** 是代词，不能修饰名词                     | | ❌ One is red, and **other** is blue. | ✅ One is red, and **the other** is blue. | 两者中的“另一个”必须加 **the**                      | | ❌ I don’t like **the others**.（泛指）   | ✅ I don’t like **others**.（泛指）           | **the others** 是特指“剩下的那一组”，**others** 是泛指 |
10.13 answer  [ˈænsər]   n vt the answer to the question. 不用of  名词answer the question	this is the answer to the question.can you answer the questionhe is taller than （any other student）in his class.       any 单数  other 可数复数 any other 单数 除主语以外其余任何一个请求里面， 疑问句中也要用some
10.13 anybody  [ˈeniˌbɑdi] anyone pron  任何人 dc  any every no some  body one thing where   构成新的词是不定代词   anyway adv 而且， 尽管， 无论如何，不管怎样  pron 任何人，无所谁否定句加比较级是最高级  keep in touch with	there isn't anybody/anyone in the classroom?there isn't anything on the desk.nothing in my life is more important than them. we can keep in touch with each other anytime and anywhere       almost everyone 固定搭配any some no everyone body thing where   构成新的词是不定代词1. 不定代词都是三单    2. to do  3. 形容词后置 somebody importantdigital camera  /ˈdɪdʒ.ɪ.təl/  share ... withthere be 就近原则 choose chose chosen choice 名词形式france team beat korea team by 4:0 make adj. 使得i can't agree more. 不能更同意了
appear  v 似乎  [əˈpɪr]   he appear to dokeep sb\sth away	he appear to be happy every day.an apple a day keeps the doctor away. is a useful saying
10.14 月份 April n   Apr.  in October	January February March April May June July August [ɔˈɡʌst] September   sep. sept. October     [ɑkˈtoʊbər]  November December   Grain Rain after stars in April       24 solar terms 节气Grain Rain 谷雨the Fourth month of the year.
11.14  area [ˈeriə] arm [a:m] army ['a:mi] arrive  v art  artist   n   pianist  artistic adj 有艺术天赋 article n 文章，作品  [ˈɑrtɪk(ə)l]     an article   arrive in 省市区县arrive at 小地方 works of art   工作不可数， 作品可数	when did you arrive at the airport？   you'd better not 动词原形 最好不要去做stay at home（n） 、go homeget to、 reach 大小不分直接加地点副词前零动词 arrive home
10.15 as   as adj adv 原级 as...as well 也  as well as.   and 也as soon as... 时间状语从句 主将从现， 过去都用过去式	he isn't as tall as Ben.I will call you as soon as I arrive there. you don’t need a lot of them as long as they are good         even though 即使  in order that 为的是  as long as 只要what do you think of English? how do you like English?as +身份 作为
10.15 ask  ask sb to do sthask sb for help	I ask bob join in usthey ask their friends for help
10.16  slepping  adj 表语和前置定语 asleep adj 只能做表语 sleepy  [sli:p] adj 困倦的   fall asleep = go to sleepsleepy adj	David fell fast asleep while he was reading a newspaper.I can't sleep well with it on.I feel sleepy sleep sleptwould you please + 动词原形with it on 伴随打开的状态 unless 主将从现 除非
10.17  attend   vt  [əˈtend]  参加；出席；注意；专心   attention n 注意力 [əˈtenʃ(ə)n]   attendpay attention to doing	he would attend my birthday party， but he never show up.please pay attention to what he is saying.you must pay attention to listening to the teacher carefully in class.   不及物动词需要加介词才能开名词或者代词介词to 后面加doing ， 大部分情况加do ， 少部分加doing
10.17  autumn   [ˈɔtəm]  fall springs summer autumn [fɔl]  fall winter	in autumn  不加the 除了早下晚 in the morning
10.19  avoid v  avoid doing 避免做某事	we should avoid making a noise in the library.         prefer practise enjoy 都加doingnoise n -- noisy adjso he is. no+sb _be 你说的真对。next to == beside
10.18  awake  [əˈweɪk]   v adj 醒着的   v  wake-woke-woken使醒来 只能做表语	I was awake.  asleep alive awake 都不能在名词做定语
10.18 away adv put away 收起来run away 逃跑give away 捐赠throw away 扔掉  threw-- thrownfar away from 远离keep away from 使得不接近take away 打包带走	put away your toys.my home is far away from my school.we should keep my kids away from the fire.we should take away.
10.18  awful [ˈɔf(ə)l]  adj  awfully adv 极其	he was awful.he is awfully sorry.     awfully adv 极其主现从乱，主过从句过，真理不变不可数名词也是三单every quite fairly rather ,seriously terribly 程度 副词往往修饰层度 be 行中有副。
10.20 back adv n  backgroundstay up 熬夜	it's bad for you to stay up too late.   人体器官用 on the back / shoulder  [ˈʃoʊldər]would you please 动词原形educational adj background 教育背景education n bad worse worst
10.21  ball  n   basketball  football volleyball baseball badminton [ˈbædmɪntən]  tennis table tennis    ballon  [bɑ'lɔn]  气球  bamboo [bæmˈbu]   不可数   basic ['beisik] 初级的 adj base  n 基础  basically dav 基本上，大体上   be base on ...以什么为基础	the story is base on real life.          球类不加[the]on the bank of the lake
10.21  basket n  数次+ 量词 + of + 可数名词复数/不可数名词  2 baskets of apples 2 bottles of water   kichen   [ˈkɪtʃ(ə)n]   chicken [ˈtʃɪkən]  bear [ber]  n熊 v忍受, 生孩子  be born	Jim, let's go out to play basketballcould you tell me when he was born?   let's go, shall we?  (包括听话者)== let us go, will you（不包括听话者）be late for school be 加介词-s -x -ch -sh  ---- 复数加 esbean curdbear - born
10.21  beat  beat -beat -beatenwin- won- wontry-tried-tried	we finally beat the strongest team.   beat 只能打败人
10.22 beauty beautiful beautifully   比较级	he works the most quickly in our class.     ly 结尾的副词 形副词同行 fast ，  hard high highly 抽象意义的高if so、and 不能同时在call micheal back
10.22 become  become became [bɪ'keɪm]  become	the weather is becoming warmer and warmer.         系动词后面加形容词 get crazy   keep healthy越来越 taller and taller 比较级
10.23  before     adv conj prep   begin -- began  [bi'ɡæn]  -- begun  [bi'ɡʌn]   behaviour  [bɪˈheɪvjər]     be behind sb  prep 在后面， 支持 it is adj for sb to dobegin ===  start to do / doing  开始做某事	is it necessary for us to take some photos before saving the old man？He began to do his homework.     table manners 餐桌礼仪 to my great joyto my surpriseyou will be left behind，被落下
10.24  believe  v  belief  believable adj 可信的 unbelievable  adj 难以置信的 believe in	I am worried about whether I can enter a good high school or not.  believe in yourself.     the doorbell rings.
10.24 below  prep adv 下面  under 垂直在下 over   sea  level [ˈlev(ə)l]  besides [bɪˈsaɪdz] prep adv 除此之外 except  [ik'sept] prep 除了之外 不包括  beside  [bɪˈsaɪd] prep 旁边 besides == what's more = in additionexceptexcept  除了，美中不足的意思	Frank look，who are the children under the tree who are waitting in a line？the tempeature was below\above zero.everyone is here except Tomyour composition is good except for a few spelling  [ˈspelɪŋ]  mistakes.
10.24 big adj bike n     by bike可单独存在 == ride my bike bill  bird birth biscuit  [ˈbɪskɪt]  可数 n  bit  n 一点  blind    deaf  [def]   a bit == a little a bit of + 不可数名词 a little+ 不可数名词not a bit == not at all 一点也不not a liitle === very muchin black 穿黑色衣服的人	my daughter weighed three kilos at birth.I have a bit of money.he is not a bit tired. === he is not tired at all.I don't love you a little. 非常爱       in 搭配颜色，语言 black and whiteninth  [naɪnθ]  twelfth  [twelfθ] twentieth [ˈtwentiəθ] adj  名词前是前置定语， 不分动词后，宾语补足语fall on deaf ears
10.24  block  [blɑk] n v  blood    [blʌd]  n bleed v  [blid]  流水 bloody  [blʌdi] adj 流血的	many people came to the hospital to donate  [ˈdoʊˌneɪt] blood
10.25 blouse  [blaʊs] 短上衣  blow  [bloʊ]   blow blew  [blu:]   blown  [bloʊn] v 吹   blue  [blu:]  board    on board == aboard	the wind is blowing strongly.       the palace [ˈpæləs]  museum 宫殿博物馆the summer palace
10.27  bored    adj 修饰人  boring adj 修饰物   interested     interesting excited    exciting 兴奋 amazed  amazing  惊奇 relaxed relaxing  tired tiring 厌倦 surprised surprising  惊讶 frightened  [ˈfraɪt(ə)nd] frightening   令人恐惧的     tour  [tʊr] 观光  trip 短途 journey [ˈdʒɜrni]  长途     travel [ˈtræv(ə)l]  位置移动  voyage [ˈvɔɪɪdʒ]  航海  January	the journey was a little boring.she has a relaxed look.
10.27  borrrow  借入   瞬间， 延续性 keep   lend  借出   borrow ... fromlend ... to...	Can i borrow your pen?can you lend your pen to me?but you can only keep it for two weeks.
10.28  bottom  [ˈbɑtəm] bottle  bowl  [boʊl]   blow [bloʊ] box    [bɑːks] brain  [brein] n brave  [breiv] adj in one's brainin one’s mind	five boxes of books   以元音字母加Y结尾，toy  直接加s   toys  boysadj 放在了四个地方  表语，前置定语 brave boy，不定单词something brave， 使动词之后做宾语 my mother makes me brave.+ ry   名词尾缀
10.28 break  [breik] v  breakfast [brekfəst] break--broke [broʊk] --brokenbreak downbreak in/intobreak outhave breakfast	they were late because their car broke down.A thief broke into the house.it is unhealthy for us to go to school without eating breakfast in the morning.     ran out  用光    turned out 结果是    carried out 执行supper / dinner  晚餐
10.28  breath breathe bright bring-- brought[brɔt] --brought bring here 由远及近, take there 由近及远as a result ， 因此，  as a result of 因为	Frank held his breath under the water to search for his ring in the swimming pool.he was out of breath after climbing the mountain. the English Speech competition bring out her. As a result，she is more active now.       bring out the best in sb  将最佳状态发挥出来Britain n 大不列颠   British adj 英国的人elder brother (年龄长，建筑物older 久远 )    younger brother.in brown
10.29  build -- built -- builtburn -- burnt [bɜrnt] -- burntbusiness n  [ˈbɪznəs] on businessnone of your business	a new hospital will be built in this city.
10.29 busy   busy--busier--busiestbusilybe busy with sthbe busy doing sth	I am busy with my homework.
10.30 but buy  bought bought bring brought brought although...    but...    互斥buy sb sth  ==  buy sth for sb   人在后要加for	I tried calling you， but your phone was out of service.I have had it for seven years.    fit  adj 外形健康    healthy 健康的状态try doingjourney to the West.not...but... 不是而是瞬间动词buy 延续动词 have
10.30  by  prep  by doing 凭借	by speaking English.     spoken/oral English by the way 顺便说一下pass by 经过
10.30 cake  [keik] calendar [ˈkæləndər] call  n v camp  can call sb at 121321231go  campingcan‘t ， cannot   不能， 不可能	call off he can't help crying.       主动后置定语 may not 可能不， needn't 不必要 can't     mustn't 禁止 没有不可能的意思。couldn't 不可以用在回答当中情态动词的否定都不可直接加not, 动词的否定签到加don‘tnot need to do == need not doneed doing 需要被做
11.1 cancel candle cancer candy 可数不可数 capital light - lit --litthe capital of Germany.	berlin is the captal of germany.
11.1 care [ker]  careful adj   careless adj carefully adv carelessly adv carelessness n 粗心大意   ['keələsnəs]  care for   照顾  === look after  == take care ofcare about 关心take care 小心保重 === look out	she didn't do it carefully enough.      more careful most careful friendly friendlier 动词之后的最高级可以省略the
